date,category,title,amount
2021-01-04,serviços,Recvivo*77999073079,20
2021-01-06,,Pagamento recebido,-293.35
2021-01-13,supermercado,O Neves Supermercado,62
2021-01-18,restaurante,Diego S,42.5
2021-01-18,serviços,Recvivo*77999073079,20
2021-01-23,transporte,Auto P Rancho Alegre,62
