date,category,title,amount
2021-02-08,,Pagamento recebido,-206.5
2020-12-07,,Pagamento recebido,-67.38
2021-01-06,,Pagamento recebido,-293.35
2021-06-07,,Pagamento recebido,-51.8
2021-06-29,,Pagamento recebido,-399.23
2021-03-01,,Pagamento recebido,-213.28
2021-05-06,,Pagamento recebido,-257.6
