date,category,title,amount
2021-06-03,educação,Amazonprimebr,9.9
2021-06-11,educação,Mercpago *Melhoren,33.41
2021-04-03,educação,Amazonprimebr,9.9
2021-05-03,educação,Amazonprimebr,9.9
