date,category,title,amount
2020-12-04,supermercado,Hiper Stella,96.79
2020-12-07,,Pagamento recebido,-67.38
2020-12-09,outros,Pag*Danisom,120
2020-12-10,serviços,Recarga Oi*77988188514,20
2020-12-18,serviços,Ame Digital,56.56
