date,category,title,amount
2021-06-01,serviços,Netflix.Com,21.9
2021-06-03,educação,Amazonprimebr,9.9
2021-06-04,serviços,Recvivo*77999073079,20
2021-06-07,,Pagamento recebido,-51.8
2021-06-11,educação,Mercpago *Melhoren,33.41
2021-06-19,outros,Registrobr,40
2021-06-23,eletrônicos,Amazon.Com.Br,29.9
2021-06-23,eletrônicos,Amazon.Com.Br,66.9
2021-06-24,eletrônicos,Amazon.Com.Br,233.69
2021-06-29,,Pagamento recebido,-399.23
